observation_date;T5YIE
2022-10-03;2,26
2022-10-04;2,28
2022-10-05;2,26
2022-10-06;2,29
2022-10-07;2,36
2022-10-10;#N/A
2022-10-11;2,36
2022-10-12;2,32
2022-10-13;2,38
2022-10-14;2,44
2022-10-17;2,48
2022-10-18;2,42
2022-10-19;2,46
2022-10-20;2,65
2022-10-21;2,69
2022-10-24;2,72
2022-10-25;2,62
2022-10-26;2,56
2022-10-27;2,57
2022-10-28;2,62
2022-10-31;2,67
2022-11-01;2,65
2022-11-02;2,68
2022-11-03;2,54
2022-11-04;2,61
2022-11-07;2,67
2022-11-08;2,61
2022-11-09;2,53
2022-11-10;2,47
2022-11-11;#N/A
2022-11-14;2,42
2022-11-15;2,40
2022-11-16;2,35
2022-11-17;2,32
2022-11-18;2,28
2022-11-21;2,34
2022-11-22;2,35
2022-11-23;2,33
2022-11-24;#N/A
2022-11-25;2,34
2022-11-28;2,29
2022-11-29;2,30
2022-11-30;2,41