observation_date;DGS5
2022-10-03;3,90
2022-10-04;3,84
2022-10-05;3,96
2022-10-06;4,05
2022-10-07;4,14
2022-10-10;#N/A
2022-10-11;4,14
2022-10-12;4,12
2022-10-13;4,21
2022-10-14;4,25
2022-10-17;4,24
2022-10-18;4,21
2022-10-19;4,35
2022-10-20;4,45
2022-10-21;4,34
2022-10-24;4,36
2022-10-25;4,25
2022-10-26;4,20
2022-10-27;4,09
2022-10-28;4,19
2022-10-31;4,27
2022-11-01;4,27
2022-11-02;4,30
2022-11-03;4,36
2022-11-04;4,33
2022-11-07;4,39
2022-11-08;4,31
2022-11-09;4,27
2022-11-10;3,95
2022-11-11;#N/A
2022-11-14;4,00
2022-11-15;3,93
2022-11-16;3,83
2022-11-17;3,93
2022-11-18;3,99
2022-11-21;3,97
2022-11-22;3,93
2022-11-23;3,88
2022-11-24;#N/A
2022-11-25;3,85
2022-11-28;3,88
2022-11-29;3,92
2022-11-30;3,82